scenario,lr,year,solarPV,windon,windoff
scenario_high_min_avg,LR6,2030,598352.545223885,297382.5,41596.5
scenario_high_min_avg,LR6,2040,1172386.291363957,400030.8686470352,99378.04578231883
scenario_high_min_high,LR6,2030,598352.545223885,297382.5,41596.5
scenario_high_min_high,LR6,2040,1172386.291363957,400030.8686470351,99378.04578231885
scenario_high_avg_min,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_min,LR6,2040,1195209.455297406,401240.4416839797,97931.42319986755
scenario_high_avg_avg,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_avg,LR6,2040,1195331.720274595,401464.5110630206,97931.42319986755
scenario_high_avg_high,LR6,2030,598352.545223885,297382.5,41596.5
scenario_high_avg_high,LR6,2040,1195331.720274595,401464.5110630209,97931.42319986755
scenario_high_high_min,LR6,2030,598352.545223885,297382.5,41596.5
scenario_high_high_min,LR6,2040,1190665.642649147,404514.5094054135,96850.45633213864
scenario_high_high_avg,LR6,2030,598352.5452238849,297382.5,41596.5
scenario_high_high_avg,LR6,2040,1190599.727165644,404577.5549326041,96988.51028896887
scenario_high_high_high,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_high,LR6,2040,1190599.727165644,404577.554932604,96988.51028896893
scenario_min_min_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_min,LR7,2040,1165553.108095397,398516.5666343063,96379.33719247166
scenario_min_min_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_avg,LR7,2040,1165594.1439417,398813.1843334126,96379.33719247168
scenario_min_min_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_high,LR7,2040,1165594.143941706,398813.184333413,96379.33719247155
scenario_min_avg_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_min,LR7,2040,1216899.864481319,399765.7297674455,93808.38111862676
scenario_min_avg_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_avg,LR7,2040,1216897.895166813,400061.5576367686,93808.38111862674
scenario_min_avg_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_high,LR7,2040,1216897.895166812,400061.5576367688,93808.38111862676
scenario_min_high_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_min,LR7,2040,1215494.772813397,388256.1731026166,101212.7986040574
scenario_min_high_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_avg,LR7,2040,1215481.522892137,388554.971304052,101212.7986040574
scenario_min_high_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_high,LR7,2040,1215481.522892135,388554.9713040519,101212.7986040574
scenario_avg_min_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_min,LR7,2040,1169682.963577634,398516.5666343063,96379.33719247168
scenario_avg_min_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_avg,LR7,2040,1165428.973256173,397309.8449495818,97359.83190457814
scenario_avg_min_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_high,LR7,2040,1165428.973256133,397309.844949603,97359.83190457828
scenario_avg_avg_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_min,LR7,2040,1202850.986618748,399765.7297674456,93808.38111862674
scenario_avg_avg_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_avg,LR7,2040,1202849.006721052,400061.5576367688,93808.38111862677
scenario_avg_avg_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_high,LR7,2040,1202849.006721052,400061.5576367687,93808.38111862676
scenario_avg_high_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_min,LR7,2040,1201441.168766177,388256.1731026166,101212.7986040574
scenario_avg_high_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_avg,LR7,2040,1201427.851588415,388554.9713040532,101212.7986040574
scenario_avg_high_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_high,LR7,2040,1201427.851588419,388554.9713040518,101212.7986040575
scenario_high_min_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_min,LR7,2040,1163950.219352558,401745.4092964018,96379.33719247166
scenario_high_min_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_avg,LR7,2040,1164076.17119409,402042.0269955082,96379.33719247168
scenario_high_min_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_high,LR7,2040,1164076.171194089,402042.0269955086,96379.33719247149
scenario_high_avg_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_min,LR7,2040,1203266.204155797,402733.6465957729,93964.6361903994
scenario_high_avg_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_avg,LR7,2040,1200264.732185075,403028.9771874666,93964.63619039941
scenario_high_avg_high,LR7,2030,598352.5452238852,297382.5,41596.5
